TotalSteps,TotalDistance,VeryActiveMinutes,Calories
6910,4.75,27,2336
7502,5.179999828,30,2421
2923,1.960000038,0,2070
3800,2.549999952,2,2120
4514,3.029999971,0,2211
5183,3.589999914,26,2123
7303,4.900000095,0,2423
5275,3.539999962,0,2281
3915,2.630000114,0,2181
9105,6.110000134,34,2499
768,0.5199999809,0,1212
5135,3.390000105,0,1909
4978,3.289999962,19,1722
6799,4.489999771,0,1922
7795,5.150000095,17,2121
7289,4.820000172,8,1997
9634,6.400000095,7,2117
8940,5.909999847,14,2116
5401,3.569999933,1,1876
4803,3.170000076,0,1788
13743,9.079999924,6,2486
9601,6.349999905,20,2094
6890,4.550000191,5,2085
8563,5.659999847,0,2173
8095,5.349999905,18,2225
9148,6.050000191,12,2223
9557,6.320000172,27,2098
9451,6.25,1,2185
7833,5.179999828,15,1918
10319,6.820000172,7,2105
3428,2.269999981,0,1692
7891,5.21999979,0,2066
5267,3.480000019,21,1953
5232,3.460000038,0,1842
10611,7.010000229,14,2262
3755,2.480000019,0,1722
8237,5.440000057,23,1973
6543,4.329999924,66,2666
11451,7.570000172,6,2223
6435,4.25,11,1889
9108,6.019999981,4,2131
6307,4.170000076,0,1452
7213,5.880000114,0,2947
6877,5.579999924,0,2898
7860,6.369999886,0,2984
6506,5.28000021,1,2896
11140,9.029999733,3,3328
12692,10.28999996,12,3394
9105,7.380000114,22,3013
6708,5.440000057,10,2812
8793,7.130000114,2,3061
6530,5.300000191,4,2729
1664,1.350000024,0,2241
15126,12.27000046,9,3691
15050,12.22000027,15,3538
9167,7.429999828,6,3064
6108,4.949999809,1,2784
7047,5.71999979,1,2908
9023,7.320000172,14,3033
9930,8.050000191,12,3165
10144,8.229999542,4,3115
0,0,0,2017
7245,5.920000076,5,2859
9454,7.670000076,0,3145
8161,6.619999886,4,3004
8614,6.989999771,8,3006
6943,5.630000114,1,2859
14370,11.64999962,5,3683
12857,10.43000031,9,3287
8232,6.679999828,0,2990
10613,8.609999657,1,3172
9810,7.960000038,10,3069
2752,2.230000019,0,1240
11596,7.570000172,19,2026
4832,3.160000086,0,1718
17022,11.11999989,61,2324
16556,10.85999966,58,2254
5771,3.769999981,0,1831
655,0.4300000072,0,1397
3727,2.430000067,0,1683
15482,10.10999966,69,2284
2713,1.769999981,0,1570
12346,8.06000042,47,2066
11682,7.630000114,25,2105
4112,2.690000057,0,1776
1807,1.179999948,0,1507
10946,7.190000057,51,2033
11886,7.760000229,40,2093
10538,6.880000114,16,1922
11393,7.630000114,49,1999
12764,8.329999924,46,2169
1202,0.7799999714,0,1463
5164,3.369999886,0,1747
9769,6.380000114,23,1996
12848,8.390000343,26,2116
4249,2.769999981,0,1698
14331,9.510000229,44,2156
9632,6.289999962,21,1916
1868,1.220000029,0,1494
6083,4,3,1762
11611,7.579999924,59,2272
16358,10.71000004,61,2335
4926,3.220000029,0,1693
3121,2.039999962,8,741
8135,6.079999924,86,3405
5077,3.789999962,15,2551
8596,6.420000076,118,4022
12087,9.079999924,115,4005
14269,10.65999985,184,4274
12231,9.140000343,200,4552
9893,7.389999866,114,3625
12574,9.420000076,108,3501
8330,6.21999979,87,3192
10830,8.090000153,110,4018
9172,6.849999905,62,3329
7638,5.710000038,24,3152
15764,11.77999973,210,4392
6393,4.78000021,61,3374
5325,3.980000019,38,3088
